Station,Casing Type,Notes on Casing
A19K,Steel,
A21K,PVC,
A22K,Steel,
A36M,PVC,"Hand dug, 12"" PVC - ~1m"
B18K,Steel,
B20K,Steel,
B21K,Steel,
B22K,Steel,
C16K,Steel,
C17K,Steel,
C18K,Steel,
C19K,Steel,
C21K,Steel,
C23K,Steel,
C24K,Steel,
C26K,Steel,
C27K,Steel,
C36M,PVC,"Hand dug, 12"" PVC - ~1m"
D17K,Steel,
D19K,Steel,
D20K,Steel,
D22K,Steel,
D23K,Steel,
D24K,Steel,
D25K,Steel,
D27M,Steel,
D28M,Steel,
E17K,Steel,
E18K,Steel,
E19K,Steel,
E20K,Steel,
E21K,Steel,
E22K,Steel,
E23K,Steel,
TOLK,Steel,"12"" PVC, ~5m"
E24K,Steel,
E25K,Steel,
E27K,Steel,
E28M,Steel,
E29M,Steel,
EPYK,Steel,
F14K,Steel,
F15K,Steel,
F17K,Steel,
F18K,PVC,
F19K,Steel,
F20K,Steel,
F21K,Steel,
F22K,Steel,
F24K,Steel,
F25K,Steel,
F26K,Steel,
F28M,Steel,
F30M,Steel,
F31M,Steel,
G15K,Steel,
G16K,Steel,
G17K,Steel,
G18K,Steel,
G19K,Steel,
G21K,Steel,
G22K,Steel,
G23K,Steel,
G24K,Steel,
G25K,PVC,
G26K,PVC,
G27K,Steel,
G29M,Steel,
G30M,Steel,
G31M,Steel,
H16K,Steel,
H17K,Steel,
H18K,Steel,
H19K,Steel,
H20K,Steel,
H21K,PVC,Confirmed from construction report and 2015 Flickr photos
H22K,PVC,
H23K,Steel,
H24K,Steel,
H25L,PVC,"Hand dug, normal PVC - ~1m"
H27K,Steel,
H29M,Steel,
H31M,Steel,
I17K,Steel,
I20K,PVC,
I21K,Steel,
I23K,Steel,Confirmed from construction report and 2014 Flickr photos
POKR,PVC,"12"" PVC, ~5m"
I26K,Steel,
I27K,Steel,
I28M,Steel,
I29M,Steel,
I30M,Steel,
J14K,Steel,
J16K,Steel,
J17K,Steel,
J18K,Steel,
J19K,Steel,
J20K,PVC,
J25K,Steel,
J26L,Steel,
J29N,Steel,
J30M,Steel,
K13K,Steel,
K15K,Steel,
K17K,Steel,
K20K,Steel,
K24K,Steel,
K27K,Steel,
K29M,Steel,
L14K,PVC,
L15K,PVC,
L16K,Steel,
L17K,Steel,
L18K,Steel,
L19K,Steel,
L20K,Steel,
L26K,PVC,
L27K,Steel,
L29M,Steel,
M11K,PVC,
M13K,PVC,
M14K,PVC,Construction report says steel for casing material but it is PVC
M15K,Steel,
M16K,Steel,
M17K,Steel,
M18K,Steel,
M19K,Steel,
M20K,Steel,
M22K,Steel,
M23K,Steel,
M24K,Steel,Confirmed from construction report
HARP,Steel,
M26K,Steel,
M27K,Steel,
M29M,Steel,
M30M,PVC,"Confirmed from construction report, steel casing removed then replaced with PVC"
M31M,Steel,
N14K,PVC,
N15K,Steel,
N16K,Steel,
N17K,Steel,
N18K,Steel,
N19K,Steel,
N20K,Steel,
N25K,PVC,Confirmed from construction report and 2014 Flickr photos
N30M,Steel,
N31M,PVC,Confirmed from construction report and 2015 Flickr photos
N32M,Steel,
O14K,Steel,
O15K,Steel,
O16K,Steel,
O17K,Steel,
O18K,Steel,
O19K,Steel,
O20K,Steel,
O22K,Steel,
O28M,Steel,
O29M,Steel,
O30N,Steel,
P08K,PVC,"Hand dug, normal PVC - ~1m"
P16K,Steel,
P17K,Steel,
P18K,Steel,
P19K,Steel,
P23K,Steel,
P29M,Steel,
P30M,Steel,
P32M,Steel,
P33M,Steel,
Q16K,PVC,
Q17K,Steel,
Q18K,Steel,
Q19K,Steel,
Q20K,Steel,
Q23K,PVC,
Q32M,Steel,
R16K,Steel,
R17L,Steel,
R18K,Steel,Confirmed from construction report
R31K,Steel,
R32K,Steel,
R33M,Steel,
S12K,Steel,
S14K,Steel,
S31K,Steel,
S32K,Steel,
S34M,Steel,
T33K,Steel,
T35M,Steel,
U33K,Steel,
U35K,Steel,Confirmed from 2016 Flickr photos
V35K,Steel,
,,
L22K,Not built yet,
S15K,Strong motion sensor only,
S19K,Strong motion sensor only,
